Cell number,Cn,Cp,eps_n,eps_p,y100,x100,y0,x0,n_Li,C,charge_c,discharge_c,n_cycle,amb_T,init_T
1,6.300969728319612,5.912306317032622,0.6434660322732365,0.4539537824892727,0.0334830205579581,0.8140498997478768,0.8942703857679009,0.0063585766045348,0.19876758381002385,5.089238576952612,0.2,0.2,380.0,25.0,24.234852
2,6.287822681043294,5.8901537609059975,0.6421234328462024,0.4522528833635768,0.0334837591477869,0.8145512851915586,0.8961938274292905,0.006402708009253,0.19845838023308654,5.081494953259768,0.2,0.2,294.0,-5.0,-3.9809382
3,6.091706259164546,5.724209905369311,0.6220956813585602,0.4395115203721646,0.0334890335077145,0.8178919266476162,0.8970548775910288,0.006422701386866,0.1930511078220035,4.943232158640318,0.2,0.2,104.0,45.0,44.362961
4,6.291797870631348,5.871614570004715,0.6425293861489556,0.450829422639006,0.0334781101176504,0.810457273281115,0.8950992669175827,0.0063775106896406,0.19759370300728957,5.059107338090799,1.5,1.5,328.0,25.0,31.326427
5,6.242603724698544,5.90119769542421,0.6375055940567352,0.4531008495512662,0.0334955250453733,0.8215143081827319,0.8957745794970444,0.0063930233235858,0.19872230070626015,5.088479168942768,1.5,1.5,574.0,-5.0,2.5302682
6,6.154656958527538,5.779975041054764,0.628524316710651,0.4437932326039057,0.0334853311890765,0.8155903147037752,0.8951533606256044,0.006378731121137,0.1945124956384806,4.980419703817973,1.5,1.5,178.0,45.0,49.081692
7,6.224065293580665,5.906565917656107,0.6356124170966273,0.4535130279224025,0.0334996007006377,0.8235668247554212,0.8946271769952784,0.0063667227350239,0.198638323828669,5.0863067928957335,2.0,2.0,246.0,25.0,32.516022
8,6.250375142799714,5.854383118550751,0.6382992248447426,0.4495063716761741,0.0334804236684785,0.8122085665240336,0.8938485359994366,0.0063490080986235,0.1967285104013892,5.0369245525697375,2.0,2.0,574.0,-5.0,2.7872109
9,6.138214176323062,5.788076443967928,0.6268451510772893,0.4444152677791309,0.0334916822846055,0.8194278935216894,0.8957109689595815,0.0063915609042207,0.19490252429099628,4.99059114273826,2.0,2.0,145.0,45.0,50.769451
10,6.297222498184918,5.84304178061556,0.6430833585879545,0.4486355705068678,0.0334710231536041,0.8042739493759119,0.893429012405254,0.0063395485793935,0.19626768263629588,5.0247704607715376,0.2,1.5,440.0,25.0,28.659966
11,6.238765815094838,5.904233175994294,0.6371136600257209,0.4533339172937972,0.0334957619362027,0.8216379213183159,0.8949522212325804,0.0063741404041521,0.19863728187607152,5.0862398066522525,0.2,1.5,541.0,-5.0,1.2510371
12,6.120875962483319,5.834902011155461,0.6250745424016085,0.4480105895033704,0.033511930643284,0.8289813769991354,0.8964009085981084,0.0064075062439156,0.19661715660146817,5.034872632872485,0.2,1.5,183.0,45.0,46.911575
13,6.289084172679551,5.914387398688191,0.6422522585750867,0.4541135703687493,0.0334866639906044,0.816440971447107,0.8948758654504909,0.0063723988857995,0.19897105933231787,5.094589438480436,0.2,0.2,492.0,25.0,25.669058
14,6.196071772923979,5.868638036686063,0.6327536698810426,0.4506008809352694,0.0334936128267193,0.8204961473932261,0.8930833522581847,0.0063317500702494,0.19701951845193133,5.044621040772559,0.2,0.2,453.0,-5.0,-2.5460882
15,6.080225816037165,5.726705336181964,0.6209232784576681,0.4397031224637343,0.0334899053682745,0.8184075739757041,0.8956350986460565,0.0063897923523569,0.19282104788374266,4.937251478907505,0.2,0.2,172.0,45.0,45.669567
16,6.3089638596298,5.855344359513915,0.644282406923081,0.4495801768797128,0.033471022352279,0.8042731377398372,0.8932262577060442,0.0063349849943205,0.19663519686865114,5.034162967891228,0.2,1.5,533.0,25.0,29.213839
17,6.246470823419126,5.90654215431048,0.6379005089313391,0.4535112033449781,0.0334914819412786,0.8193146370611252,0.893258335565071,0.0063357074600196,0.19833395762162548,5.078249163807818,0.2,1.5,558.0,-5.0,1.0496063
18,6.156135803902059,5.789833758811102,0.6286753389828597,0.4445501964647074,0.0334872829587893,0.8168274936499819,0.8952088700590474,0.0063800157813257,0.1948544094443981,4.989224735689355,0.2,1.5,296.0,45.0,47.630131
19,6.321766169483359,5.986037631549581,0.6455898011624752,0.4596149589097933,0.0334853386624366,0.8155951491815737,0.8882487234319727,0.0062254809391164,0.19985635460074738,5.116645787301137,1.5,1.5,451.0,25.0,25.841227
20,6.255305250620735,5.859877764681251,0.6388026960650554,0.449928257021863,0.033482742841579,0.8138582317499788,0.8954442192522775,0.0063854247067657,0.19727030838743045,5.050988889630874,1.5,1.5,560.0,-5.0,-2.943918
21,6.133222734747298,5.800849799806421,0.6263354163468325,0.4453960209551394,0.0335021940137076,0.8247974365649339,0.8987260179369301,0.0064620095213624,0.1959969136268317,5.019033445792771,1.5,1.5,338.0,45.0,45.730003
22,5.697770079521577,5.426327557488508,0.5818662307480524,0.4166397658814153,0.0334574590795679,0.7861593200015433,0.8530863279882974,0.0055776790789558,0.1739047987060582,4.447574718272575,,,,25.0,
23,6.293826072983963,5.879222786224382,0.6427365097151296,0.4514135903640381,0.0335125446889827,0.8292250796192645,0.9138828475697688,0.0068488199337091,0.20207935948205696,5.175893145011979,,,,-5.0,
24,6.231740089591953,5.893720016523276,0.6363961806680811,0.4525267046339876,0.033494688239729,0.821073196307078,0.8949196225848938,0.0063734005370682,0.19827721609122556,5.076997378282346,,,,45.0,
25,6.184343243450135,5.904154844228989,0.6315559319692076,0.4533279028893935,0.0335051829896848,0.8261511041769962,0.8922495552872911,0.0063130799817637,0.19801225757037197,5.070159745655294,,,,25.0,
